ID,Speaker,Content,Expression,NextID,Event
start,系统,（一阵头痛过后，你睁开了眼睛。）,,line_1,
line_1,Player,这里是……？我的手……,Normal,line_2,
line_2,Player,（右臂传来一阵灼烧感，黑色的纹路蔓延至指尖。）,Normal,line_3,
line_3,Luna,凯尔大人，您醒了。,Normal,line_4,
line_4,Player,你是……？,Normal,line_5,
line_5,Luna,我叫Luna，是您的侍女。您昨夜突然昏倒，把我吓坏了。,Normal,line_6,
line_6,Player,侍女……这里是哪里？,Normal,line_7,
line_7,Luna,起源大陆。凯尔大人，您真的什么都不记得了吗？,Normal,line_8,
line_8,Player,起源大陆……,Normal,line_9,
line_9,Luna,大人的右臂……那是黑死咒的印记。,Normal,line_10,
line_10,Player,黑死咒？,Normal,line_11,
line_11,Luna,一年前那颗黑色陨石降落之后，凡是拥有魔法力的生物都被刻上了诅咒。使用魔法会加深印记……印记叠满就会死。,Normal,line_12,
line_12,Player,（看着右臂的纹路）……那我现在该怎么办？,Normal,line_13,
line_13,Luna,先活下去。,Normal,line_14,
line_14,Luna,其实正好，大人。附近的迷雾森林最近史莱姆出没，我本想自己去处理的……,Normal,line_15,
line_15,Player,你要我去打史莱姆。,Normal,line_16,
line_16,Luna,就当热热身嘛。打完回来我给您做饭。,Normal,line_17,
line_17,Player,……好。,Normal,END,AcceptQuest:Quest_Daily_Slime
